DATE-YMD,TEMP= Reynolds OI-SST-v2 Temperature (C),
2002-04-15,      19.052,
2002-05-15,      18.618,
2002-06-15,      19.795,
2002-07-15,      20.983,
2002-08-15,      22.716,
2002-09-15,      23.848,
2002-10-15,      23.232,
2002-11-15,      21.352,
2002-12-15,      19.280,
2003-01-15,      17.995,
2003-02-15,      17.514,
2003-03-15,      18.264,
2003-04-15,      18.793,
2003-05-15,      19.423,
2003-06-15,      20.517,
2003-07-15,      21.981,
2003-08-15,      24.487,
2003-09-15,      24.266,
2003-10-15,      23.540,
2003-11-15,      20.857,
2003-12-15,      18.904,
2004-01-15,      18.162,
2004-02-15,      19.288,
2004-03-15,      19.111,
2004-04-15,      18.573,
2004-05-15,      18.813,
2004-06-15,      20.411,
2004-07-15,      21.742,
2004-08-15,      24.225,
2004-09-15,      24.235,
2004-10-15,      23.232,
2004-11-15,      21.787,
2004-12-15,      19.280,
2005-01-15,      17.142,
2005-02-15,      17.297,
2005-03-15,      19.131,
2005-04-15,      19.225,
2005-05-15,      19.966,
2005-06-15,      21.361,
2005-07-15,      22.928,
2005-08-15,      24.391,
2005-09-15,      25.065,
2005-10-15,      23.756,
2005-11-15,      21.815,
2005-12-15,      20.076,
2006-01-15,      18.000,
2006-02-15,      18.610,
2006-03-15,      19.235,
2006-04-15,      19.036,
2006-05-15,      19.466,
2006-06-15,      20.134,
2006-07-15,      22.230,
2006-08-15,      24.785,
2006-09-15,      25.680,
2006-10-15,      24.747,
2006-11-15,      22.882,
2006-12-15,      19.226,
2007-01-15,      17.865,
2007-02-15,      18.946,
2007-03-15,      18.999,
2007-04-15,      18.839,
2007-05-15,      19.527,
2007-06-15,      20.203,
2007-07-15,      21.062,
2007-08-15,      22.045,
2007-09-15,      23.029,
2007-10-15,      20.389,
2007-11-15,      19.567,
2007-12-15,      18.101,
2008-01-15,      17.392,
2008-02-15,      18.979,
2008-03-15,      19.663,
2008-04-15,      19.568,
2008-05-15,      19.036,
2008-06-15,      19.277,
