DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1980-04-15,       5.360,
1980-05-15,       5.930,
1980-06-15,       6.120,
1980-07-15,       6.770,
1980-08-15,       6.890,
1980-09-15,       6.930,
1980-10-15,       5.060,
1980-11-15,       9.110,
1980-12-15,       7.470,
1981-01-15,       4.820,
1981-02-15,       5.130,
1981-03-15,       6.980,
1981-04-15,       7.310,
1981-05-15,       7.850,
1981-06-15,       6.090,
1981-07-15,       7.400,
1981-08-15,       7.820,
1981-09-15,       8.470,
1981-10-15,       5.620,
1981-11-15,       7.240,
1981-12-15,       7.710,
1982-01-15,       6.700,
1982-02-15,       4.020,
1982-03-15,       5.880,
1982-04-15,       5.640,
1982-05-15,       7.340,
1982-06-15,       6.780,
1982-07-15,       6.740,
1982-08-15,       7.300,
1982-09-15,       9.420,
1982-10-15,       9.380,
1982-11-15,       4.160,
1982-12-15,       7.050,
1983-01-15,       3.350,
1983-02-15,       3.610,
1983-03-15,       5.380,
1983-04-15,       5.460,
1983-05-15,       6.990,
1983-06-15,       5.450,
1983-07-15,       5.440,
1983-08-15,       5.760,
1983-09-15,       5.280,
1983-10-15,       4.970,
1983-11-15,       5.760,
1983-12-15,       6.190,
1984-01-15,       8.950,
1984-02-15,       7.710,
1984-03-15,       5.110,
1984-04-15,       5.830,
1984-05-15,       7.380,
1984-06-15,       7.940,
1984-07-15,       5.550,
1984-08-15,       5.670,
1984-09-15,       3.600,
1984-10-15,       4.110,
1984-11-15,       4.060,
1984-12-15,       4.950,
1985-01-15,       6.130,
1985-02-15,       6.290,
1985-03-15,       6.540,
1985-04-15,       8.290,
1985-05-15,       7.700,
1985-06-15,       7.220,
1985-07-15,       6.130,
1985-08-15,       4.800,
1985-09-15,       4.810,
1985-10-15,       4.590,
1985-11-15,       5.150,
1985-12-15,       5.460,
1986-01-15,       6.900,
1986-02-15,       6.440,
1986-03-15,       5.070,
1986-04-15,       5.610,
1986-05-15,       7.160,
1986-06-15,       5.410,
1986-07-15,       5.550,
1986-08-15,       5.030,
1986-09-15,       4.640,
1986-10-15,       5.260,
1986-11-15,       4.330,
1986-12-15,       4.970,
1987-01-15,       4.370,
1987-02-15,       4.730,
1987-03-15,       4.210,
1987-04-15,       5.320,
1987-05-15,       6.340,
1987-06-15,       6.060,
1987-07-15,       6.740,
1987-08-15,       5.390,
1987-09-15,       4.920,
1987-10-15,       5.270,
1987-11-15,       4.430,
1987-12-15,       3.890,
1988-01-15,       6.080,
1988-02-15,       5.840,
1988-03-15,       5.200,
1988-04-15,       5.700,
1988-05-15,       6.440,
1988-06-15,       6.980,
1988-07-15,       4.510,
1988-08-15,       6.860,
1988-09-15,       6.570,
1988-10-15,       4.720,
1988-11-15,       5.440,
1988-12-15,       5.970,
1989-01-15,       5.250,
1989-02-15,       7.130,
1989-03-15,       5.780,
1989-04-15,       5.290,
1989-05-15,       6.100,
1989-06-15,       5.950,
1989-07-15,       5.050,
1989-08-15,       5.580,
1989-09-15,       5.610,
1989-10-15,       4.740,
1989-11-15,       3.860,
1989-12-15,       4.450,
1990-01-15,       4.550,
