DATE-YMD,OTHR= CMEMS Mixed Layer Depth (m),
2013-04-15,       8.487,
2013-05-15,       8.693,
2013-06-15,       9.129,
2013-07-15,       8.662,
2013-08-15,       8.814,
2013-09-15,       8.446,
2013-10-15,       8.653,
2013-11-15,       9.384,
2013-12-15,      10.107,
2014-01-15,      10.480,
2014-02-15,      10.484,
2014-03-15,       9.622,
2014-04-15,       8.563,
2014-05-15,       8.514,
2014-06-15,       8.644,
2014-07-15,       8.604,
2014-08-15,       8.783,
2014-09-15,       8.514,
2014-10-15,       8.446,
2014-11-15,       9.205,
2014-12-15,      10.776,
2015-01-15,      12.001,
2015-02-15,      10.906,
2015-03-15,       9.236,
2015-04-15,       8.832,
2015-05-15,       9.133,
2015-06-15,       9.811,
2015-07-15,       8.500,
2015-08-15,       8.469,
2015-09-15,       8.586,
2015-10-15,       8.321,
2015-11-15,      10.152,
2015-12-15,      10.996,
2016-01-15,      10.278,
2016-02-15,      10.861,
2016-03-15,       9.290,
2016-04-15,       8.747,
2016-05-15,       8.563,
2016-06-15,       8.599,
2016-07-15,       8.779,
2016-08-15,       8.357,
2016-09-15,       8.487,
2016-10-15,       8.586,
2016-11-15,       9.649,
2016-12-15,      11.709,
2017-01-15,      10.300,
2017-02-15,      10.269,
2017-03-15,       8.765,
2017-04-15,       8.523,
2017-05-15,       8.675,
2017-06-15,       8.738,
2017-07-15,       8.967,
2017-08-15,       8.805,
2017-09-15,       8.644,
2017-10-15,       8.931,
2017-11-15,      10.143,
2017-12-15,      11.341,
2018-01-15,      10.785,
2018-02-15,      10.076,
2018-03-15,       8.626,
2018-04-15,       9.205,
2018-05-15,       8.828,
2018-06-15,       8.788,
2018-07-15,       9.384,
2018-08-15,       8.711,
2018-09-15,       8.500,
2018-10-15,       8.725,
2018-11-15,       9.752,
2018-12-15,      11.404,
