SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
321/22,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,10/05/2022,ND,ND,ND,ND,ND,ND,ND
322/22,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,16/05/2022,ND,80,ND,15440,ND,ND,80
323/22,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,16/05/2022,ND,ND,ND,520,ND,ND,ND
324/22,Portland,B25AK,Dorset Council,SY68707757,Site A,16/05/2022,ND,ND,ND,960,ND,ND,160
325/22,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,15/05/2022,ND,ND,ND,320,ND,ND,ND
326/22,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,16/05/2022,ND,600,ND,2640,ND,ND,ND
327/22,Dart,B028P,South Hams DC,SX87945350,Long Wood South,16/05/2022,ND,ND,ND,4600,ND,ND,ND
328/22,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,16/05/2022,ND,ND,ND,2200,ND,ND,ND
329/22,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,16/05/2022,ND,ND,ND,1200,ND,ND,ND
330/22,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,17/05/2022,ND,ND,ND,4300,ND,ND,ND
331/22,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,17/05/2022,ND,40,ND,9080,ND,ND,ND
332/22,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,17/05/2022,ND,ND,ND,400,ND,ND,ND
333/22,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,17/05/2022,ND,ND,ND,840,ND,ND,ND
334/22,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,17/05/2022,ND,ND,ND,800,ND,ND,ND
335/22,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,17/05/2022,ND,ND,ND,2200,ND,ND,ND
336/22,The Thames,B16BR,London PHA,TQ93798271,Phoenix,17/05/2022,ND,ND,ND,2200,ND,ND,ND
337/22,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,17/05/2022,ND,ND,ND,1320,ND,ND,ND
338/22,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,17/05/2022,ND,ND,ND,ND,ND,ND,ND
339/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,17/05/2022,40,200,ND,240,ND,ND,ND
340/22,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,18/05/2022,ND,ND,ND,ND,ND,ND,ND
341/22,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,18/05/2022,ND,1680,ND,1840,ND,ND,40
342/22,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,18/05/2022,ND,ND,ND,400,ND,ND,ND
343/22,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,18/05/2022,ND,ND,ND,2600,ND,ND,ND
344/22,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,18/05/2022,ND,ND,ND,500,ND,ND,ND
345/22,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,18/05/2022,ND,ND,ND,800,ND,ND,ND
346/22,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,18/05/2022,ND,ND,ND,4400,ND,ND,ND
347/22,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,18/05/2022,ND,ND,ND,3800,ND,ND,ND
348/22,Swale,B076P,Swale BC,TR01316497,The Causeway,19/05/2022,ND,ND,ND,ND,ND,ND,ND
349/22,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,23/05/2022,ND,ND,3040,ND,ND,ND,ND
350/22,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,24/05/2022,ND,ND,ND,400,ND,ND,700
351/22,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,24/05/2022,ND,ND,ND,800,ND,ND,ND
352/22,Blackwater,B14AE,Maldon DC,TL89310707,Off Recycling Centre,23/05/2022,ND,ND,ND,ND,ND,ND,ND
353/22,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,24/05/2022,ND,120,ND,7600,ND,ND,160
354/22,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,23/05/2022,ND,ND,ND,4760,ND,ND,ND
355/22,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,23/05/2022,ND,240,ND,1480,ND,ND,200
356/22,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,25/05/2022,ND,ND,ND,6500,ND,ND,ND
357/22,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,25/05/2022,ND,ND,ND,ND,ND,ND,ND
359/22,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,25/05/2022,ND,ND,40,560,ND,ND,160
360/22,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,25/05/2022,ND,ND,ND,960,ND,ND,ND
361/22,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,25/05/2022,ND,ND,ND,240,ND,ND,ND
362/22,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,25/05/2022,ND,ND,ND,3600,ND,ND,ND
363/22,Roach,B73AF,London PHA,TQ94909207,Paglesham,25/05/2022,ND,ND,ND,ND,ND,ND,ND
364/22,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,25/05/2022,ND,ND,ND,4200,ND,ND,ND
365/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,25/05/2022,ND,ND,ND,ND,ND,ND,ND
366/22,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,26/05/2022,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment"
368/22,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,26/05/2022,ND,ND,ND,1000,ND,ND,ND
369/22,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,30/05/2022,ND,ND,ND,12700,ND,ND,ND
370/22,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,30/05/2022,ND,ND,ND,300,ND,ND,ND
371/22,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,29/05/2022,ND,ND,ND,ND,ND,ND,ND
372/22,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,30/05/2022,ND,ND,ND,11400,ND,ND,ND
373/22,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,30/05/2022,ND,160,ND,1920,ND,ND,ND
374/22,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,31/05/2022,80,280,ND,7440,ND,ND,120
375/22,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,30/05/2022,ND,360,ND,12360,ND,ND,ND
376/22,Portland,B25AK,Dorset Council,SY68707757,Site A,06/06/2022,ND,ND,ND,3760,ND,ND,ND
377/22,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,06/06/2022,ND,ND,ND,16600,ND,ND,ND
378/22,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,01/06/2022,ND,200,ND,8200,ND,ND,ND
380/22,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,07/06/2022,ND,40,40,8360,ND,ND,ND
381/22,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,07/06/2022,ND,ND,ND,3600,ND,ND,ND
382/22,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,07/06/2022,ND,100,ND,5800,ND,ND,ND
383/22,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,07/06/2022,ND,ND,ND,200,ND,ND,ND
384/22,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,07/06/2022,ND,ND,ND,400,ND,ND,ND
385/22,Dart,B028B,South Hams DC,SX87415599,Waddeton,07/06/2022,ND,ND,ND,ND,ND,ND,ND
386/22,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,07/06/2022,ND,ND,ND,3760,ND,ND,ND
387/22,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,07/06/2022,ND,ND,ND,2400,ND,ND,ND
388/22,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,06/06/2022,ND,160,ND,12040,ND,ND,ND
389/22,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,07/06/2022,100,ND,ND,3400,ND,ND,200
390/22,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,08/06/2022,ND,200,ND,7760,ND,ND,120
391/22,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,08/06/2022,ND,ND,ND,ND,ND,ND,ND
392/22,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,08/06/2022,ND,ND,ND,ND,ND,ND,ND
393/22,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,08/06/2022,ND,ND,ND,358000,ND,ND,100
394/22,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,08/06/2022,ND,ND,ND,35100,ND,ND,ND
395/22,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,13/06/2022,ND,ND,ND,ND,ND,ND,ND
396/22,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,13/06/2022,ND,ND,ND,ND,ND,ND,ND
398/22,Portland,B25AK,Dorset Council,SY68707757,Site A,13/06/2022,ND,40,ND,5040,ND,ND,40
399/22,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,13/06/2022,ND,ND,ND,ND,ND,ND,ND
400/22,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,13/06/2022,ND,ND,ND,ND,ND,ND,ND
401/22,The Thames,B16BR,London PHA,TQ93798271,Phoenix,13/06/2022,ND,ND,ND,400,ND,ND,ND
402/22,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,13/06/2022,ND,ND,ND,ND,ND,ND,ND
403/22,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,12/06/2022,ND,ND,ND,400,ND,ND,ND
404/22,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,13/06/2022,ND,ND,ND,800,ND,ND,ND
405/22,The Wash,B003V,Boston BC,TF44234098,Toft,14/06/2022,ND,ND,ND,1400,ND,ND,ND
406/22,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,14/06/2022,ND,ND,ND,900,ND,ND,ND
407/22,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,13/06/2022,ND,ND,ND,ND,ND,ND,ND
408/22,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,14/06/2022,ND,ND,ND,ND,ND,ND,ND
409/22,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,14/06/2022,ND,ND,ND,400,ND,ND,ND
410/22,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,13/06/2022,ND,ND,ND,7900,ND,ND,ND
411/22,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,13/06/2022,ND,ND,ND,3800,ND,ND,ND
412/22,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,14/06/2022,ND,ND,ND,34800,ND,ND,100
413/22,Roach,B73AF,London PHA,TQ94909207,Paglesham,14/06/2022,ND,ND,ND,ND,ND,ND,ND
414/22,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,14/06/2022,ND,ND,ND,11100,100,ND,100
415/22,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,14/06/2022,ND,ND,ND,1300,ND,ND,ND
416/22,Dart,B028P,South Hams DC,SX87945350,Long Wood South,14/06/2022,ND,200,ND,8500,ND,ND,ND
417/22,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,14/06/2022,ND,40,ND,32840,ND,ND,ND
418/22,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,13/06/2022,"NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY","NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY","NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY","NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY","NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY","NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY","NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY"
419/22,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,14/06/2022,ND,ND,ND,1400,ND,ND,ND
420/22,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,15/06/2022,ND,880,ND,3400,ND,ND,ND
421/22,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,15/06/2022,ND,120,ND,5240,ND,ND,ND
422/22,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,15/06/2022,ND,ND,ND,1400,ND,ND,100
423/22,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,15/06/2022,100,ND,ND,200,ND,ND,ND
424/22,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,15/06/2022,ND,ND,ND,800,ND,ND,ND
425/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,14/06/2022,ND,80,ND,2960,ND,ND,ND
426/22,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,15/06/2022,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment"
428/22,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,20/06/2022,ND,ND,ND,ND,ND,ND,ND
429/22,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,20/06/2022,ND,ND,ND,31800,ND,ND,ND
430/22,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,19/06/2022,ND,ND,ND,400,ND,ND,ND
431/22,Swale,B076P,Swale BC,TR01316497,The Causeway,20/06/2022,ND,ND,ND,ND,ND,ND,ND
432/22,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,21/06/2022,ND,ND,ND,ND,ND,ND,ND
433/22,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,21/06/2022,ND,ND,ND,ND,ND,ND,ND
434/22,Blackwater,B14AE,Maldon DC,TL89310707,Off Recycling Centre,20/06/2022,ND,ND,ND,ND,ND,ND,ND
435/22,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,21/06/2022,ND,ND,ND,ND,ND,ND,ND
437/22,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,22/06/2022,ND,ND,ND,ND,ND,ND,ND
438/22,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,22/06/2022,ND,ND,ND,6600,ND,ND,ND
439/22,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,22/06/2022,ND,ND,ND,80,ND,ND,40
440/22,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,22/06/2022,ND,ND,ND,480,ND,ND,ND
441/22,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,22/06/2022,ND,ND,ND,ND,ND,ND,ND
442/22,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,21/06/2022,ND,ND,ND,ND,ND,ND,ND
443/22,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,22/06/2022,ND,ND,ND,ND,ND,ND,ND
444/22,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,22/06/2022,ND,ND,ND,2700,ND,ND,ND
445/22,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,22/06/2022,ND,ND,ND,4800,ND,ND,ND
446/22,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,21/06/2022,ND,ND,ND,3000,ND,ND,40
447/22,Brixham,B082C,Torbay BC,SX93996191,Torquay Mussels NW,21/06/2022,ND,ND,ND,6240,ND,ND,ND
448/22,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,23/06/2022,ND,200,ND,600,ND,ND,ND
450/22,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,27/06/2022,ND,ND,ND,ND,ND,ND,ND
451/22,Roach,B73AF,London PHA,TQ94909207,Paglesham,27/06/2022,ND,ND,ND,ND,ND,ND,ND
452/22,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,27/06/2022,ND,ND,ND,ND,ND,ND,ND
453/22,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,27/06/2022,ND,ND,ND,200,ND,ND,ND
454/22,The Thames,B16BR,London PHA,TQ93798271,Phoenix,27/06/2022,ND,ND,ND,240,ND,ND,ND
455/22,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,27/06/2022,ND,ND,ND,ND,ND,ND,ND
456/22,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,27/06/2022,ND,ND,ND,1000,ND,ND,ND
457/22,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,28/06/2022,100,400,ND,1600,ND,ND,100
458/22,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,28/06/2022,ND,ND,ND,2800,ND,ND,200
459/22,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,28/06/2022,ND,ND,ND,ND,ND,ND,ND
460/22,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,28/06/2022,ND,ND,ND,1800,ND,ND,ND
461/22,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,27/06/2022,ND,ND,ND,7600,ND,ND,ND
462/22,Brixham,B082C,Torbay BC,SX93996191,Torquay Mussels NW,27/06/2022,ND,ND,ND,4900,ND,ND,ND
463/22,Portland,B25AK,Dorset Council,SY68707757,Site A,29/06/2022,ND,ND,ND,28400,ND,ND,ND
464/22,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,29/06/2022,ND,ND,ND,7600,ND,ND,ND
465/22,Dart,B028P,South Hams DC,SX87945350,Long Wood South,29/06/2022,ND,ND,ND,2300,ND,ND,ND
466/22,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,29/06/2022,ND,ND,ND,10000,ND,ND,ND
467/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,28/06/2022,ND,200,ND,1600,ND,ND,ND
468/22,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,30/06/2022,ND,ND,ND,4300,ND,ND,ND
469/22,Dart,B028B,South Hams DC,SX87415599,Waddeton,30/06/2022,ND,40,ND,1280,ND,ND,ND
470/22,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,04/07/2022,100,ND,ND,800,ND,ND,ND
471/22,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,04/07/2022,ND,ND,ND,ND,ND,ND,ND
472/22,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,04/07/2022,ND,40,ND,4000,ND,ND,40
473/22,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,04/07/2022,ND,ND,ND,ND,ND,ND,ND
474/22,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,04/07/2022,100,ND,ND,1700,ND,ND,200
475/22,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,04/07/2022,ND,120,ND,2320,ND,ND,ND
476/22,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,04/07/2022,ND,ND,ND,2720,ND,ND,ND
477/22,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,05/07/2022,ND,ND,ND,ND,ND,ND,ND
478/22,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,05/07/2022,ND,ND,ND,ND,ND,ND,ND
479/22,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,05/07/2022,ND,ND,ND,ND,ND,ND,ND
481/22,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,05/07/2022,ND,40,ND,9320,ND,ND,ND
482/22,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,05/07/2022,ND,ND,ND,2400,ND,ND,ND
483/22,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,05/07/2022,ND,ND,ND,1600,ND,ND,ND
484/22,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,05/07/2022,40,ND,ND,760,ND,ND,ND
485/22,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,04/07/2022,ND,80,ND,1360,ND,ND,ND
486/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,05/07/2022,ND,40,ND,480,ND,ND,ND
487/22,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,06/07/2022,ND,400,ND,27880,ND,ND,ND
488/22,Blackwater,B14AE,Maldon DC,TL89310707,Off Recycling Centre,06/07/2022,ND,ND,ND,ND,ND,ND,ND
489/22,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,07/07/2022,ND,ND,ND,200,ND,ND,ND
490/22,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,07/07/2022,ND,ND,ND,ND,ND,ND,ND
514/22,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,13/07/2022,ND,400,ND,ND,ND,ND,ND
496/22,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,12/07/2022,ND,ND,ND,ND,ND,ND,ND
497/22,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,12/07/2022,ND,100,ND,ND,ND,ND,ND
508/22,Portland,B25AK,Dorset Council,SY68707757,Site A,13/07/2022,ND,ND,ND,4800,ND,ND,ND
509/22,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,13/07/2022,ND,ND,ND,1700,ND,ND,ND
516/22,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,14/07/2022,ND,ND,ND,ND,ND,ND,ND
517/22,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,14/07/2022,ND,ND,ND,ND,ND,ND,ND
518/22,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,13/07/2022,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment"
498/22,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,12/07/2022,ND,ND,ND,1000,ND,ND,ND
499/22,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,12/07/2022,ND,ND,ND,ND,ND,ND,ND
500/22,The Thames,B16BR,London PHA,TQ93798271,Phoenix,12/07/2022,ND,ND,ND,1760,ND,ND,ND
515/22,Roach,B73AF,London PHA,TQ94909207,Paglesham,13/07/2022,ND,ND,ND,ND,ND,ND,ND
501/22,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,11/07/2022,ND,ND,ND,ND,ND,ND,200
510/22,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,12/07/2022,ND,ND,ND,ND,ND,ND,ND
491/22,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,10/07/2022,ND,ND,ND,80,ND,ND,40
492/22,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,10/07/2022,ND,ND,ND,240,ND,ND,ND
502/22,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,12/07/2022,ND,ND,ND,ND,ND,ND,ND
511/22,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,13/07/2022,ND,ND,ND,ND,ND,ND,ND
519/22,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,14/07/2022,ND,ND,ND,ND,ND,ND,ND
503/22,Dart,B028P,South Hams DC,SX87945350,Long Wood South,12/07/2022,ND,ND,ND,2500,ND,ND,ND
504/22,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,12/07/2022,ND,ND,ND,1680,ND,ND,ND
512/22,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,13/07/2022,ND,ND,ND,ND,ND,ND,ND
513/22,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,13/07/2022,ND,ND,ND,ND,ND,ND,ND
505/22,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,11/07/2022,ND,ND,ND,1400,ND,ND,ND
506/22,Brixham,B082C,Torbay BC,SX93996191,Torquay Mussels NW,11/07/2022,ND,200,ND,ND,ND,ND,ND
507/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,11/07/2022,ND,ND,ND,200,ND,ND,ND
494/22,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,11/07/2022,ND,ND,ND,ND,ND,ND,ND
495/22,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,11/07/2022,ND,ND,ND,18800,ND,ND,ND
520/22,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,18/07/2022,ND,ND,ND,5400,ND,ND,ND
521/22,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,18/07/2022,ND,ND,ND,1880,ND,ND,ND
522/22,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,18/07/2022,ND,ND,ND,1120,ND,ND,ND
523/22,The Wash,B003V,Boston BC,TF44234098,Toft,19/07/2022,ND,ND,ND,5360,ND,ND,ND
524/22,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,19/07/2022,ND,ND,ND,700,ND,ND,100
525/22,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,18/07/2022,ND,ND,ND,400,ND,ND,ND
526/22,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,18/07/2022,ND,ND,ND,240,ND,ND,ND
527/22,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,18/07/2022,ND,ND,ND,800,ND,ND,ND
528/22,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,18/07/2022,ND,80,ND,200,ND,ND,ND
529/22,Brixham,B082C,Torbay BC,SX93996191,Torquay Mussels NW,18/07/2022,ND,ND,ND,320,ND,ND,ND
530/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,19/07/2022,ND,ND,ND,1720,ND,ND,ND
531/22,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,19/07/2022,40,ND,ND,160,ND,ND,ND
