SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
182/22,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,05/04/2022,ND,ND,ND,ND,ND,ND,ND
183/22,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,05/04/2022,ND,280,ND,ND,ND,ND,ND
184/22,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,05/04/2022,ND,160,ND,ND,ND,ND,ND
185/22,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,05/04/2022,ND,200,ND,ND,ND,ND,ND
186/22,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,05/04/2022,ND,ND,ND,ND,ND,ND,ND
187/22,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,05/04/2022,"Unable to analyse, too much sediment",,,,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment"
188/22,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,05/04/2022,ND,ND,ND,ND,ND,ND,ND
189/22,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,05/04/2022,ND,ND,ND,ND,ND,ND,ND
190/22,The Thames,B16BR,London PHA,TQ93798271,Phoenix,05/04/2022,ND,ND,ND,800,ND,ND,ND
191/22,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,05/04/2022,ND,ND,ND,ND,ND,ND,ND
192/22,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,05/04/2022,ND,ND,ND,ND,ND,ND,ND
193/22,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,05/04/2022,ND,ND,ND,ND,ND,ND,ND
194/22,The Wash,B003V,Boston BC,TF44234098,Toft,05/04/2022,ND,ND,ND,ND,ND,ND,ND
