SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
29/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2020-01-21,ND,ND,ND,400,ND,ND,ND
30/20,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2020-01-21,ND,ND,ND,ND,ND,ND,ND
31/20,Dart,B028B,South Hams DC,SX87415599,Waddeton,2020-01-21,ND,ND,ND,ND,ND,ND,ND
32/20,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,2020-01-21,ND,ND,ND,320,ND,ND,ND
33/20,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2020-01-21,ND,ND,ND,1500,ND,ND,ND
34/20,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2020-01-21,ND,ND,ND,ND,ND,ND,ND
35/20,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2020-01-20,ND,ND,ND,80,ND,ND,ND
36/20,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2020-01-20,ND,ND,ND,80,ND,ND,ND
37/20,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2020-01-21,ND,ND,ND,ND,ND,ND,ND
39/20,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2020-01-22,ND,ND,ND,ND,ND,ND,ND
40/20,Lyme Bay,B090V,Dorset Council,SY45918886,Lyme Bay Ensis West,2020-01-22,ND,ND,ND,ND,ND,ND,ND
41/20,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2020-01-22,ND,ND,ND,ND,ND,ND,ND
42/20,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,2020-01-22,ND,ND,ND,ND,ND,ND,ND
43/20,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2020-01-23,ND,ND,ND,80,ND,ND,ND
44/20,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2020-01-27,ND,ND,ND,ND,ND,ND,ND
45/20,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2020-01-27,ND,ND,ND,ND,ND,ND,ND
46/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-01-27,ND,ND,ND,160,ND,ND,ND
47/20,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2020-01-28,ND,ND,ND,ND,ND,ND,ND
48/20,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,2020-01-28,ND,ND,ND,ND,ND,ND,ND
49/20,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,2020-01-29,ND,ND,ND,ND,ND,ND,ND
50/20,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2020-02-03,ND,ND,ND,ND,ND,ND,ND
51/20,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,2020-02-03,ND,ND,ND,ND,ND,ND,ND
52/20,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,2020-02-04,ND,ND,ND,ND,ND,ND,ND
53/20,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2020-02-04,ND,ND,ND,320,ND,ND,ND
54/20,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2020-02-04,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
55/20,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2020-02-04,ND,ND,ND,ND,ND,ND,ND
56/20,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,2020-02-03,ND,ND,ND,ND,ND,ND,ND
57/20,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2020-02-05,ND,ND,ND,ND,ND,ND,ND
58/20,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2020-02-05,ND,ND,ND,ND,ND,ND,ND
59/20,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2020-02-05,ND,ND,ND,ND,ND,ND,ND
60/20,Roach,B73AF,London PHA,TQ94909207,Paglesham,2020-02-06,ND,ND,ND,ND,ND,ND,ND
61/20,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2020-02-10,ND,ND,ND,200,ND,ND,ND
62/20,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,2020-02-11,ND,ND,ND,ND,ND,ND,ND
63/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-02-11,ND,ND,ND,600,ND,ND,ND
64/20,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,2020-02-11,ND,ND,ND,ND,ND,ND,ND
65/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2020-02-12,ND,ND,ND,800,ND,ND,ND
66/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-02-12,ND,ND,ND,760,ND,ND,ND
67/20,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,2020-02-12,ND,ND,ND,ND,ND,ND,ND
68/20,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2020-02-12,ND,ND,ND,ND,ND,ND,200
69/20,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2020-02-12,ND,ND,ND,ND,ND,ND,ND
70/20,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2020-02-13,ND,ND,ND,ND,ND,ND,ND
71/20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-02-18,ND,ND,ND,ND,ND,ND,ND
73/20,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,2020-02-18,ND,ND,ND,ND,ND,ND,ND
75/20,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2020-02-18,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
76/20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-02-19,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
77/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-02-19,ND,40,ND,840,ND,ND,ND
78/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-02-19,ND,ND,ND,840,ND,ND,ND
79/20,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2020-02-19,ND,ND,ND,320,ND,ND,ND
80/20,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2020-02-19,ND,ND,ND,200,ND,ND,ND
81/20,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2020-02-19,ND,ND,ND,ND,ND,ND,ND
82/20,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2020-02-20,"Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis"
84/20,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2020-02-24,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
85/20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-02-25,ND,ND,ND,800,ND,ND,ND
86/20,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2020-02-25,ND,ND,ND,ND,ND,ND,ND
87/20,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,2020-02-26,ND,ND,ND,ND,ND,ND,ND
88/20,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2020-02-26,ND,ND,ND,1200,ND,ND,ND
89/20,Dart,B028B,South Hams DC,SX87415599,Waddeton,2020-02-25,ND,ND,ND,1600,ND,ND,ND
90/20,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,2020-02-25,ND,ND,ND,1440,ND,ND,ND
91/20,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2020-02-26,ND,ND,ND,4400,ND,ND,ND
92/20,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2020-02-26,ND,ND,ND,3800,ND,ND,ND
93/20,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2020-02-25,ND,ND,ND,3960,ND,ND,ND
94/20,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2020-02-25,"Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis","Not tested, unsuitable for analysis"
95/20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-02-26,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
96/20,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,2020-03-02,ND,ND,ND,ND,ND,ND,ND
97/20,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2020-03-02,ND,ND,ND,200,ND,ND,ND
98/20,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,2020-03-02,ND,ND,ND,ND,ND,ND,ND
99/20,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,2020-03-03,ND,ND,ND,400,ND,ND,ND
100/20,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2020-03-03,ND,ND,ND,600,ND,ND,ND
101/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-03-03,40,ND,ND,640,ND,ND,ND
102/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-03-03,ND,ND,ND,1080,ND,ND,ND
103/20,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,2020-03-03,ND,ND,ND,1560,ND,ND,ND
104/20,Mevagissey Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2020-03-03,ND,ND,ND,4400,ND,ND,ND
105/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-03-03,ND,40,ND,3480,ND,ND,ND
106/20,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2020-03-03,ND,ND,ND,400,ND,ND,ND
107/20,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2020-03-03,ND,ND,ND,ND,ND,ND,ND
108/20,Swale,B076P,Swale BC,TR01316497,The Causeway,2020-03-03,ND,ND,ND,ND,ND,ND,ND
109/20,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2020-03-02,ND,ND,ND,120,ND,ND,ND
110/20,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2020-03-04,ND,ND,ND,ND,ND,ND,ND
111/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2020-03-09,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
112/20,Roach,B73AF,London PHA,TQ94909207,Paglesham,2020-03-09,ND,ND,ND,ND,ND,ND,ND
113/20,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2020-03-08,ND,ND,ND,ND,ND,ND,ND
114/20,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2020-03-09,ND,ND,ND,480,ND,ND,ND
115/20,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2020-03-09,ND,ND,ND,500,ND,ND,ND
116/20,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2020-03-09,ND,ND,ND,ND,ND,ND,ND
117/20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-03-11,ND,ND,ND,ND,ND,ND,ND
118/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-03-10,ND,ND,ND,2400,ND,ND,100
119/20,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,2020-03-11,ND,ND,ND,ND,ND,ND,ND
120/20,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,2020-03-12,ND,ND,ND,ND,ND,ND,ND
121/20,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2020-03-12,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
122/20,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2020-03-12,ND,ND,ND,ND,ND,ND,200
123/20,The Wash,B003V,Boston BC,TF44234098,Toft,2020-03-16,ND,ND,ND,ND,ND,ND,ND
124/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2020-03-16,ND,ND,ND,1400,ND,ND,ND
125/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-03-16,ND,ND,ND,1880,ND,ND,ND
126/20,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,2020-03-16,ND,ND,ND,800,ND,ND,ND
127/20,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,2020-03-17,ND,ND,ND,880,ND,ND,ND
128/20,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2020-03-16,ND,ND,ND,10600,ND,ND,ND
129/20,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2020-03-16,ND,ND,ND,18720,ND,ND,40
131/20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-03-18,ND,ND,ND,1300,ND,ND,ND
132/20,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2020-03-18,ND,ND,ND,5200,ND,ND,ND
133/20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-03-19,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
134/20,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2020-03-18,ND,ND,ND,8800,ND,ND,ND
135/20,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2020-03-18,ND,ND,ND,4400,ND,ND,ND
136/20,Dart,B028B,South Hams DC,SX87415599,Waddeton,2020-03-23,ND,ND,ND,14160,ND,ND,ND
137/20,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2020-03-24,ND,100,ND,ND,ND,ND,ND
138/20,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2020-03-23,ND,ND,ND,1200,ND,ND,ND
139/20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-03-25,ND,ND,ND,ND,ND,ND,ND
140/20,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2020-03-25,ND,ND,ND,160,ND,ND,ND
141/20,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2020-03-25,ND,ND,ND,100,ND,ND,ND
142/20,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2020-03-26,ND,ND,ND,ND,ND,ND,ND
143/20,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2020-03-31,ND,ND,ND,5760,ND,ND,ND
144/20,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2020-03-30,ND,ND,ND,900,ND,ND,ND
145/20,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2020-04-01,ND,ND,ND,2440,ND,ND,ND
146/20,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2020-04-01,ND,ND,ND,2080,ND,ND,ND
147/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-04-01,ND,ND,ND,1640,ND,ND,ND
148/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-04-01,ND,ND,ND,8520,ND,ND,ND
149/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2020-04-01,ND,ND,ND,3000,ND,ND,ND
150/20,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2020-04-01,ND,ND,ND,8000,ND,ND,ND
151/20,Mevagissey Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2020-04-01,ND,ND,ND,11840,ND,ND,ND
152/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-04-01,ND,ND,ND,7880,ND,ND,ND
153/20,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2020-04-01,ND,ND,ND,1200,ND,ND,ND
154/20,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2020-04-01,ND,ND,ND,2000,ND,ND,ND
155/20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-04-02,ND,ND,ND,1000,ND,ND,ND
156/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-04-02,ND,40,ND,3160,ND,ND,ND
157/20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-04-06,ND,ND,ND,ND,ND,ND,ND
158/20,Roach,B73AF,London PHA,TQ94909207,Paglesham,2020-04-06,ND,ND,ND,ND,ND,ND,ND
159/20,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2020-04-05,ND,ND,ND,9400,ND,ND,ND
160/20,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2020-04-06,ND,ND,ND,8900,ND,ND,ND
161/20,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2020-04-06,ND,ND,ND,1900,ND,ND,ND
162/20,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2020-04-06,ND,ND,ND,800,ND,ND,200
163/20,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2020-04-06,ND,ND,ND,ND,ND,ND,ND
164/20,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2020-04-07,ND,ND,ND,ND,ND,ND,ND
165/20,The Wash,B003V,Boston BC,TF44234098,Toft,2020-04-07,ND,ND,ND,680,ND,ND,ND
166/20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-04-07,ND,ND,ND,1700,ND,ND,ND
168/20,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,2020-04-07,ND,ND,ND,920,ND,ND,ND
169/20,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2020-04-07,ND,ND,ND,1400,ND,ND,ND
170/20,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2020-04-06,ND,ND,ND,52400,ND,ND,ND
171/20,Lyme Bay,B090V,Dorset Council,SY45918886,Lyme Bay Ensis West,2020-04-07,ND,ND,ND,9100,ND,ND,ND
172/20,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2020-04-08,ND,ND,ND,ND,ND,ND,ND
173/20,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2020-04-08,ND,ND,ND,ND,ND,ND,ND
174/20,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2020-04-14,ND,ND,ND,1680,ND,ND,ND
175/20,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2020-04-14,ND,ND,ND,80,ND,ND,ND
176/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-04-14,ND,40,ND,600,ND,ND,ND
177/20,Lyme Bay,B090V,Dorset Council,SY45918886,Lyme Bay Ensis West,2020-04-14,ND,ND,ND,1160,ND,ND,ND
178/20,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2020-04-14,ND,ND,ND,400,ND,ND,ND
179/20,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2020-04-14,ND,40,ND,3960,ND,ND,ND
180/20,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2020-04-14,ND,ND,ND,500,ND,ND,ND
181/20,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,2020-04-14,ND,ND,ND,ND,ND,ND,ND
182/20,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2020-04-15,ND,ND,ND,ND,ND,ND,ND
183/20,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2020-04-15,ND,ND,ND,720,ND,ND,ND
184/20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-04-20,ND,ND,ND,4440,ND,ND,80
185/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2020-04-20,ND,ND,ND,ND,ND,ND,ND
186/20,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2020-04-19,ND,ND,ND,11280,ND,ND,ND
187/20,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2020-04-20,ND,240,ND,400,ND,ND,ND
188/20,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2020-04-20,ND,ND,ND,10000,ND,ND,ND
189/20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-04-20,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
190/20,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2020-04-21,ND,ND,ND,ND,ND,ND,ND
191/20,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2020-04-20,ND,ND,ND,280,ND,ND,ND
192/20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-04-21,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
194/20,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2020-04-21,ND,ND,ND,13600,ND,ND,ND
195/20,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2020-04-21,ND,ND,ND,14200,ND,ND,ND
196/20,Roach,B73AF,London PHA,TQ94909207,Paglesham,2020-04-21,ND,ND,ND,400,ND,ND,ND
197/20,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,2020-04-21,ND,ND,ND,2000,ND,ND,ND
198/20,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2020-04-21,ND,ND,ND,400,ND,ND,ND
199/20,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2020-04-20,ND,ND,ND,4520,ND,ND,ND
200/20,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2020-04-20,ND,ND,ND,7160,ND,ND,ND
201/20,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2020-04-20,ND,ND,ND,35800,ND,ND,ND
