SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
Feb-20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-01-06,ND,ND,ND,ND,ND,ND,ND
Mar-20,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2020-01-06,ND,ND,ND,160,ND,ND,ND
Apr-20,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2020-01-06,ND,ND,ND,ND,ND,ND,ND
May-20,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2020-01-07,ND,ND,ND,ND,ND,ND,ND
Jun-20,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2020-01-07,ND,ND,ND,ND,ND,ND,ND
Jul-20,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2020-01-07,ND,ND,ND,ND,ND,ND,ND
Aug-20,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,2020-01-08,ND,ND,ND,ND,ND,ND,ND
Sep-20,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2020-01-08,ND,ND,ND,ND,ND,ND,ND
Oct-20,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2020-01-08,ND,ND,ND,ND,ND,ND,ND
Nov-20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-01-07,ND,ND,ND,600,ND,ND,ND
Dec-20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-01-08,ND,ND,ND,ND,ND,ND,ND
13/20,Roach,B73AF,London PHA,TQ94909207,Paglesham,2020-01-09,ND,ND,ND,ND,ND,ND,ND
14/20,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,2020-01-13,ND,ND,ND,ND,ND,ND,ND
15/20,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,2020-01-13,ND,ND,ND,ND,ND,ND,ND
16/20,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2020-01-13,ND,200,ND,ND,ND,ND,ND
17/20,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,2020-01-13,ND,ND,ND,ND,ND,ND,ND
18/20,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,2020-01-15,ND,ND,ND,ND,ND,ND,ND
19/20,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2020-01-15,ND,ND,ND,ND,ND,ND,ND
20/20,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2020-01-15,ND,ND,ND,ND,ND,ND,ND
21/20,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2020-01-16,ND,ND,ND,ND,ND,ND,ND
22/20,Swale,B076P,Swale BC,TR01316497,The Causeway,2020-01-16,ND,ND,ND,ND,ND,ND,ND
23/20,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,2020-01-20,ND,ND,ND,ND,ND,ND,ND
24/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-01-20,ND,ND,ND,ND,ND,ND,ND
25/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-01-20,ND,ND,ND,160,ND,ND,ND
26/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-01-20,ND,ND,ND,280,ND,ND,ND
27/20,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2020-01-19,ND,ND,ND,ND,ND,ND,ND
28/20,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2020-01-20,ND,ND,ND,ND,ND,ND,ND
