SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,SampleCollectionMethod,DateSampleCollected,DateSampleArrivedAtLowestoft,DateOfAnalysisAndResultsReported,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,ActionRequired
1-18,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2018-01-02,2018-01-03,2018-01-04,ND,ND,ND,ND,ND,ND,ND,
2-18,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2018-01-02,2018-01-03,2018-01-04,ND,ND,ND,80,ND,ND,ND,
3-18,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,POLE,2018-01-03,2018-01-04,2018-01-05,ND,ND,ND,ND,ND,ND,ND,
4-18,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2018-01-04,2018-01-05,2018-01-08,ND,ND,ND,ND,ND,ND,ND,
5-18,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2018-01-04,2018-01-05,2018-01-08,ND,ND,ND,ND,ND,ND,ND,
6-18,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,SURFACE,2018-01-08,2018-01-09,2018-01-10,ND,ND,ND,200,ND,ND,ND,
7-18,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,SURFACE,2018-01-08,2018-01-09,2018-01-10,ND,ND,ND,ND,ND,ND,ND,
8-18,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,SURFACE,2018-01-08,2018-01-09,2018-01-10,ND,ND,ND,440,ND,ND,ND,
9-18,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,SURFACE,2018-01-08,2018-01-09,2018-01-10,ND,ND,ND,2000,ND,ND,ND,
10-18,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2018-01-08,2018-01-09,2018-01-10,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional sample requested
11-18,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2018-01-08,2018-01-09,2018-01-10,ND,ND,ND,ND,ND,ND,ND,
12-18,Swale,B076P,Swale BC,TR01316497,The Causeway,SURFACE,2018-01-08,2018-01-09,2018-01-10,ND,ND,ND,ND,ND,ND,ND,
13-18,Lune,B066Y,Wyre BC,SD34504722,Sea Centre South,POLE,2018-01-05,2018-01-09,2018-01-10,ND,ND,ND,ND,ND,ND,ND,
15-18,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2018-01-09,2018-01-10,2018-01-11,ND,ND,ND,ND,ND,ND,ND,
16-18,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,POLE,2018-01-08,2018-01-10,2018-01-11,ND,ND,ND,ND,ND,ND,80,
17-18,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,SURFACE,2018-01-08,2018-01-10,2018-01-11,ND,ND,ND,ND,ND,ND,ND,
18-18,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2018-01-09,2018-01-10,2018-01-11,ND,ND,ND,ND,ND,ND,ND,
19-18,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2018-01-09,2018-01-10,2018-01-11,ND,ND,ND,ND,ND,ND,ND,
20-18,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2018-01-10,2018-01-11,2018-01-12,ND,ND,ND,ND,ND,ND,ND,
21-18,Three Rivers,UNKNOWN1,Carmarthenshire CC,SN39690647,Kidwelly Quay,SURFACE,2018-01-10,2018-01-11,2018-01-12,ND,ND,ND,ND,ND,ND,ND,
22-18,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,POLE,2018-01-10,2018-01-11,2018-01-12,ND,ND,ND,ND,ND,ND,ND,
23-18,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2018-01-10,2018-01-11,2018-01-12,ND,ND,ND,80,ND,ND,ND,
24-18,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2018-01-10,2018-01-11,2018-01-12,ND,ND,ND,ND,ND,ND,ND,
25-18,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2018-01-10,2018-01-11,2018-01-12,ND,ND,ND,ND,ND,ND,ND,
26-18,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2018-01-15,2018-01-16,2018-01-17,ND,ND,ND,600,ND,ND,ND,
27-18,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2018-01-15,2018-01-16,2018-01-17,ND,ND,ND,ND,ND,ND,ND,
28-18,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2018-01-16,2018-01-17,2018-01-18,ND,40,ND,ND,ND,ND,ND,
29-18,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,TUBE,2018-01-16,2018-01-17,2018-01-18,ND,ND,ND,ND,ND,ND,ND,
31-19,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2018-01-16,2018-01-17,2018-01-18,ND,ND,ND,ND,ND,ND,ND,
32-18,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2018-01-16,2018-01-17,2018-01-18,ND,ND,ND,ND,ND,ND,ND,
33-18,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2018-01-17,2018-01-18,2018-01-19,ND,ND,ND,ND,ND,ND,ND,
34-18,Burry Inlet,B038L,City and Council of Swansea,SS44409730,Whitford Point,SURFACE,2018-01-17,2018-01-18,2018-01-19,ND,ND,ND,ND,ND,ND,ND,
35-18,Morecambe Bay - East,B047P,Lancaster CC,SD44196535,Bare Ayre East,POLE,2018-01-17,2018-01-18,2018-01-19,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional water sample requested
36-18,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,POLE,2018-01-17,2018-01-18,2018-01-19,ND,ND,ND,ND,ND,ND,ND,
37-18,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2018-01-22,2018-01-23,2018-01-24,ND,ND,ND,ND,ND,ND,ND,
38-18,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,POLE,2018-01-22,2018-01-23,2018-01-24,ND,ND,ND,320,ND,ND,40,
39-18,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2018-01-22,2018-01-23,2018-01-24,ND,ND,ND,640,ND,ND,ND,
