SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,,
1/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,04/01/2021,ND,ND,ND,ND,ND,ND,ND,,
2/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,04/01/2021,ND,ND,ND,ND,ND,ND,ND,,
3/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,05/01/2021,ND,ND,ND,400,ND,ND,ND,,
4/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,05/01/2021,ND,ND,ND,ND,ND,ND,ND,,
5/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,06/01/2021,ND,ND,ND,ND,ND,ND,ND,,
6/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,11/01/2021,ND,ND,ND,ND,ND,ND,ND,,
7/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,11/01/2021,ND,ND,ND,ND,ND,ND,ND,,
9/21,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,11/01/2021,ND,ND,ND,ND,ND,ND,ND,,
10/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,11/01/2021,ND,ND,ND,ND,ND,ND,ND,,
11/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,11/01/2021,ND,ND,ND,ND,ND,ND,ND,,
12/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,11/01/2021,ND,ND,ND,ND,ND,ND,ND,,
