SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,SampleCollectionMethod,DateSampleCollected,DateSampleArrivedAtLowestoft,DateOfAnalysisAndResultsReported,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,ActionRequired
933/19,The Wash,B003V,Boston BC,TF44234098,Toft,SURFACE,2019-12-16,2019-12-17,2019-12-18,ND,ND,ND,ND,ND,ND,ND,
934/19,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2019-12-16,2019-12-17,2019-12-18,ND,ND,ND,ND,ND,ND,ND,
935/19,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,SURFACE,2019-12-16,2019-12-17,2019-12-18,ND,ND,ND,ND,ND,ND,ND,
936/19,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2019-12-16,2019-12-17,2019-12-18,ND,ND,ND,ND,ND,ND,ND,
937/19,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,SURFACE,2019-12-15,2019-12-17,2019-12-18,ND,ND,ND,ND,ND,ND,ND,
938/19,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,SURFACE,2019-12-16,2019-12-17,2019-12-18,ND,ND,ND,ND,ND,ND,ND,
939/19,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,POLE,2019-12-16,2019-12-17,2019-12-18,ND,ND,ND,ND,ND,ND,ND,
940/19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-12-16,2019-12-17,2019-12-18,ND,ND,ND,ND,ND,ND,ND,
941/19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,POLE,2019-12-17,2019-12-18,2019-12-19,ND,ND,ND,ND,ND,ND,ND,
942/19,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,POLE,2019-12-17,2019-12-18,2019-12-19,ND,ND,ND,80,ND,ND,ND,
943/19,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,SURFACE,2019-12-17,2019-12-18,2019-12-19,ND,ND,ND,ND,ND,ND,ND,
