SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,SampleCollectionMethod,DateSampleCollected,DateSampleArrivedAtLowestoft,DateOfAnalysisAndResultsReported,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,ActionRequired
103/19,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,SURFACE,2019-02-19,2019-02-20,2019-02-21,ND,ND,ND,7360,ND,ND,ND,
104/19,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2019-02-20,2019-02-21,2019-02-22,ND,ND,ND,ND,ND,ND,ND,
105/19,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2019-02-21,2019-02-22,2019-02-25,ND,ND,ND,1800,ND,ND,ND,
106/19,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,SURFACE,2019-02-21,2019-02-22,2019-02-25,ND,ND,ND,ND,ND,ND,ND,
107/19,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,POLE,2019-02-26,2019-02-27,2019-02-28,ND,ND,ND,1080,ND,ND,ND,
108/19,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,POLE,2019-02-27,2019-02-28,2019-03-01,ND,ND,ND,ND,ND,ND,ND,
109/19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-02-27,2019-02-28,2019-03-01,ND,ND,ND,ND,ND,ND,ND,
110/19,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2019-03-04,2019-03-05,2019-03-06,ND,ND,ND,ND,ND,ND,ND,
111/19,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2019-03-04,2019-03-05,2019-03-06,ND,ND,ND,400,ND,ND,ND,
112/19,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,ND,ND,ND,ND,
113/19,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2019-03-04,2019-03-06,2019-03-07,ND,ND,ND,1160,ND,ND,ND,
114/19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,SURFACE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,ND,ND,ND,ND,
115/19,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,POLE,2019-03-04,2019-03-06,2019-03-07,ND,ND,ND,680,ND,ND,ND,
116/19,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2019-03-04,2019-03-06,2019-03-07,ND,ND,ND,640,ND,ND,ND,
117/19,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,POLE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,6240,ND,ND,ND,
118/19,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,3520,ND,ND,ND,
119/19,Poole,B50CU,Poole BC,SZ09079041,Poole Coastal,POLE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,ND,ND,ND,ND,
120/19,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,ND,ND,ND,ND,
121/19,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,POLE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,ND,ND,ND,ND,
122/19,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,ND,ND,ND,ND,
123/19,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,ND,ND,ND,ND,
124/19,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,ND,ND,ND,ND,
125/19,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2019-03-05,2019-03-06,2019-03-07,ND,ND,ND,3040,ND,ND,ND,
126/19,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2019-03-06,2019-03-07,2019-03-08,ND,ND,ND,ND,ND,ND,ND,
127/19,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2019-03-06,2019-03-07,2019-03-08,ND,ND,ND,ND,ND,ND,ND,
128/19,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2019-03-06,2019-03-07,2019-03-08,ND,ND,ND,ND,ND,ND,ND,
129/19,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2019-03-06,2019-03-07,2019-03-08,ND,ND,ND,ND,ND,ND,ND,
130/19,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2019-03-05,2019-03-07,2019-03-08,ND,ND,ND,4880,ND,ND,ND,
131/19,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2019-03-06,2019-03-08,2019-03-11,ND,ND,ND,200,ND,ND,ND,
132/19,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,SURFACE,2019-03-11,2019-03-12,2019-03-13,ND,ND,ND,ND,ND,ND,ND,
133/19,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2019-03-11,2019-03-12,2019-03-13,ND,ND,ND,ND,ND,ND,ND,
134/19,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,POLE,2019-03-12,2019-03-13,2019-03-14,ND,ND,ND,1000,ND,ND,ND,
135/19,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,POLE,2019-03-12,2019-03-13,2019-03-14,ND,ND,ND,2400,ND,ND,ND,
136/19,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,POLE,2019-03-12,2019-03-13,2019-03-14,ND,ND,ND,ND,ND,ND,ND,
137/19,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,POLE,2019-03-12,2019-03-13,2019-03-14,ND,ND,ND,8840,ND,ND,ND,
138/19,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2019-03-11,2019-03-13,2019-03-14,ND,ND,ND,2320,ND,ND,ND,
139/19,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2019-03-13,2019-03-14,2019-03-15,ND,ND,ND,1400,ND,ND,ND,
140/19,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,POLE,2019-03-12,2019-03-14,2019-03-15,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional water sample requested 
142/19,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,TUBE,2019-03-18,2019-03-19,2019-03-20,ND,ND,ND,300,ND,ND,ND,
144/19,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,SURFACE,2019-03-18,2019-03-19,2019-03-20,ND,ND,ND,600,ND,ND,ND,
145/19,The Wash,B003V,Boston BC,TF44234098,Toft,SURFACE,2019-03-19,2019-03-20,2019-03-21,ND,ND,ND,ND,ND,ND,40,
146/19,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,SURFACE,2019-03-20,2019-03-21,2019-03-22,ND,ND,ND,ND,ND,ND,ND,
147/19,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2019-03-20,2019-03-21,2019-03-22,ND,ND,ND,560,ND,ND,ND,
148/19,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2019-03-25,2019-03-26,2019-03-27,ND,ND,ND,ND,ND,ND,ND,
149/19,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,SURFACE,2019-03-25,2019-03-26,2019-03-27,ND,ND,ND,ND,ND,ND,ND,
150/19,Swale,B076P,Swale BC,TR01316497,The Causeway,SURFACE,2019-03-25,2019-03-26,2019-03-27,ND,ND,ND,6560,ND,ND,ND,
151/19,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2019-03-26,2019-03-27,2019-03-28,ND,ND,ND,ND,ND,ND,ND,
152/19,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2019-03-26,2019-03-27,2019-03-28,ND,ND,ND,7200,ND,ND,ND,
153/19,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,POLE,2019-03-26,2019-03-27,2019-03-28,ND,ND,ND,7960,ND,ND,ND,
154/19,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,POLE,2019-03-26,2019-03-27,2019-03-28,ND,ND,ND,1400,ND,ND,ND,
155/19,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,SURFACE,2019-03-26,2019-03-27,2019-03-28,ND,ND,ND,29880,ND,ND,ND,
156/19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-03-26,2019-03-27,2019-03-28,ND,ND,ND,ND,ND,ND,ND,
157/19,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2019-03-26,2019-03-27,2019-03-28,ND,ND,ND,5040,ND,ND,ND,
158/19,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2019-03-26,2019-03-27,2019-03-28,ND,ND,ND,9840,ND,ND,ND,
159/19,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2019-03-26,2019-03-28,2019-03-29,ND,ND,ND,13080,ND,ND,ND,
160/19,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,POLE,2019-03-27,2019-03-28,2019-03-29,ND,ND,ND,5300,ND,ND,ND,
161/19,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,POLE,2019-03-27,2019-03-28,2019-03-29,ND,ND,ND,4280,ND,ND,ND,
162/19,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,POLE,2019-03-28,2019-04-01,2019-04-02,ND,ND,ND,400,ND,ND,ND,
164/19,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2019-04-01,2019-04-02,2019-04-03,ND,ND,ND,400,ND,ND,ND,
165/19,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2019-04-01,2019-04-02,2019-04-03,ND,ND,ND,ND,ND,ND,ND,
166/19,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2019-04-01,2019-04-02,2019-04-03,ND,ND,ND,3600,ND,ND,ND,
167/19,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2019-04-01,2019-04-02,2019-04-03,ND,ND,ND,520,ND,ND,ND,
168/19,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2019-04-01,2019-04-02,2019-04-03,ND,ND,ND,41600,ND,ND,ND,
169/19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,SURFACE,2019-04-02,2019-04-03,2019-04-04,ND,ND,ND,6400,ND,ND,ND,
170/19,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,POLE,2019-04-02,2019-04-03,2019-04-04,ND,ND,ND,159000,ND,ND,ND,Additional flesh and water samples requested 
171/19,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2019-04-02,2019-04-03,2019-04-04,ND,ND,ND,ND,ND,ND,ND,
172/19,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2019-04-02,2019-04-03,2019-04-04,ND,ND,ND,760,ND,ND,ND,
173/19,Poole,B54CU,Poole BC,SZ09079041,Poole Coastal,POLE,2019-04-02,2019-04-03,2019-04-04,ND,ND,ND,17400,ND,ND,ND,
174/19,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2019-04-02,2019-04-03,2019-04-04,ND,ND,ND,9840,ND,ND,ND,
175/19,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,SURFACE,2019-04-02,2019-04-03,2019-04-04,ND,ND,ND,59080,ND,ND,ND,
176/19,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2019-04-02,2019-04-03,2019-04-04,ND,ND,ND,440,ND,ND,ND,
177/19,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2019-04-02,2019-04-03,2019-04-04,ND,ND,ND,240,ND,ND,ND,
178/19,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2019-04-02,2019-04-03,2019-04-04,ND,ND,ND,27680,ND,ND,ND,
179/19,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,SURFACE,2019-04-03,2019-04-04,2019-04-05,ND,ND,ND,400,ND,ND,ND,
180/19,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2019-04-03,2019-04-04,2019-04-05,ND,ND,ND,480,ND,ND,ND,
181/19,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2019-04-02,2019-04-04,2019-04-05,ND,ND,ND,11720,ND,ND,ND,
182/19,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2019-04-04,2019-04-05,2019-04-08,ND,ND,ND,31800,ND,ND,ND,
183/19,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2019-04-03,2019-04-05,2019-04-08,ND,ND,ND,ND,ND,ND,ND,
184/19,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2019-04-03,2019-04-08,2019-04-09,ND,ND,ND,2000,ND,ND,ND,
185/19,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2019-04-08,2019-04-09,2019-04-10,ND,ND,ND,13640,ND,ND,ND,
186/19,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,SURFACE,2019-04-08,2019-04-09,2019-04-10,ND,ND,ND,1200,ND,ND,ND,
187/19,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2019-04-08,2019-04-09,2019-04-10,ND,ND,ND,34200,ND,ND,ND,
188/19,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,POLE,2019-04-08,2019-04-09,2019-04-10,ND,ND,ND,33920,ND,ND,ND,
189/19,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,POLE,2019-04-08,2019-04-09,2019-04-10,ND,ND,ND,12360,ND,ND,ND,
190/19,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,POLE,2019-04-08,2019-04-09,2019-04-10,ND,ND,ND,19160,ND,ND,ND,
191/19,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,SURFACE,2019-04-08,2019-04-09,2019-04-10,ND,ND,ND,12240,ND,ND,ND,
192/19,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2019-04-08,2019-04-09,2019-04-10,ND,ND,ND,39440,ND,ND,ND,
193/19,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2019-04-09,2019-04-10,2019-04-11,"NOT TESTED, UNSUITABLE FOR ANALYSIS",,,,,,,Additional water sample requested
194/19,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,POLE,2019-04-09,2019-04-10,2019-04-11,ND,ND,ND,4240,ND,ND,ND,
195/19,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,POLE,2019-04-09,2019-04-10,2019-04-11,ND,ND,ND,1720,ND,ND,ND,
196/19,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,POLE,2019-04-09,2019-04-10,2019-04-11,ND,ND,ND,3040,ND,ND,ND,
197/19,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,SURFACE,2019-04-09,2019-04-10,2019-04-11,ND,ND,ND,ND,ND,ND,ND,
198/19,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,POLE,2019-04-09,2019-04-10,2019-04-11,ND,ND,ND,800,ND,ND,ND,
199/19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-04-09,2019-04-10,2019-04-11,ND,ND,ND,ND,ND,ND,2160,
200/19,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2019-04-09,2019-04-10,2019-04-11,ND,ND,ND,2080,ND,ND,ND,
201/19,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2019-04-09,2019-04-10,2019-04-11,ND,ND,ND,7600,ND,ND,ND,
202/19,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2019-04-10,2019-04-11,2019-04-12,ND,ND,ND,160,ND,ND,ND,
203/19,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2019-04-11,2019-04-12,2019-04-15,ND,ND,ND,64040,ND,ND,ND,
204/19,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,POLE,2019-04-11,2019-04-12,2019-04-15,ND,ND,ND,47360,ND,ND,ND,
205/19,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2019-04-11,2019-04-12,2019-04-15,ND,40,ND,119000,ND,ND,ND,
206/19,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,POLE,2019-04-09,2019-04-12,2019-04-15,ND,ND,ND,1600,ND,ND,ND,
208/19,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2019-04-15,2019-04-16,2019-04-17,ND,ND,ND,ND,ND,ND,ND,
209/19,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,TUBE,2019-04-15,2019-04-16,2019-04-17,ND,ND,ND,900,ND,ND,ND,
211/19,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2019-04-15,2019-04-16,2019-04-17,ND,ND,ND,680,ND,ND,ND,
212/19,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2019-04-15,2019-04-16,2019-04-17,ND,ND,ND,800,ND,ND,ND,
213/19,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2019-04-15,2019-04-16,2019-04-17,ND,ND,ND,ND,ND,ND,ND,
214/19,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2019-04-15,2019-04-16,2019-04-17,ND,ND,ND,6120,ND,ND,ND,
215/19,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2019-04-16,2019-04-17,2019-04-18,ND,ND,ND,10800,ND,ND,ND,
216/19,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2019-04-16,2019-04-17,2019-04-18,ND,ND,ND,4000,ND,ND,ND,
217/19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,SURFACE,2019-04-16,2019-04-17,2019-04-18,ND,ND,ND,1400,ND,ND,ND,
218/19,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,POLE,2019-04-16,2019-04-17,2019-04-18,ND,ND,ND,17400,ND,ND,ND,
219/19,Poole,B54CU,Poole BC,SZ09079041,Poole Coastal,POLE,2019-04-16,2019-04-17,2019-04-18,ND,ND,ND,7300,ND,ND,ND,
220/19,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2019-04-16,2019-04-17,2019-04-18,ND,ND,ND,240,ND,ND,ND,
221/19,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2019-04-16,2019-04-17,2019-04-18,ND,ND,ND,ND,ND,ND,ND,
222/19,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,POLE,2019-04-16,2019-04-17,2019-04-18,ND,40,ND,4520,ND,ND,ND,
223/19,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2019-04-16,2019-04-17,2019-04-18,ND,ND,ND,2400,ND,ND,ND,
224/19,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2019-04-16,2019-04-17,2019-04-18,ND,ND,ND,73240,ND,ND,ND,
225/19,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2019-04-17,2019-04-18,2019-04-23,ND,ND,ND,160,ND,ND,ND,
226/19,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2019-04-17,2019-04-18,2019-04-23,ND,ND,ND,240,ND,ND,ND,
227/19,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2019-04-16,2019-04-23,2019-04-23,"NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY",,,,,,,Additional water sample requested
228/19,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,36920,ND,ND,ND,
229/19,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,POLE,2019-04-23,2019-04-24,2019-04-25,ND,40,ND,35440,ND,ND,ND,
230/19,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,POLE,2019-04-23,2019-04-24,2019-04-25,ND,40,ND,12920,ND,ND,ND,
231/19,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,POLE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,23440,ND,ND,ND,
232/19,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,SURFACE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,200,ND,ND,ND,
233/19,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,SURFACE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,280,ND,ND,ND,
234/19,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,SURFACE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,760,ND,ND,ND,
235/19,The Thames,B16BR,London PHA,TQ93798271,Phoenix,SURFACE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,1360,ND,ND,ND,
236/19,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,SURFACE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,680,ND,ND,ND,
237/19,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,POLE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,800,ND,ND,ND,
238/19,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2019-04-22,2019-04-24,2019-04-25,ND,ND,ND,320,ND,ND,ND,
239/19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-04-23,2019-04-24,2019-04-25,40,ND,ND,ND,ND,ND,ND,Additional flesh and water sample
240/19,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,80,ND,ND,ND,
241/19,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,80,ND,ND,ND,
242/19,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,ND,ND,ND,ND,
243/19,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,POLE,2019-04-23,2019-04-24,2019-04-25,ND,ND,ND,14800,ND,ND,ND,
245/19,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,POLE,2019-04-23,2019-04-25,2019-04-26,ND,ND,ND,48280,ND,ND,ND,
246/19,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,POLE,2019-04-23,2019-04-25,2019-04-26,ND,ND,ND,35840,ND,ND,ND,
247/19,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,SURFACE,2019-04-23,2019-04-25,2019-04-26,ND,ND,ND,ND,ND,ND,ND,
248/19,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2019-04-24,2019-04-25,2019-04-26,ND,ND,ND,4360,ND,ND,ND,
249/19,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2019-04-24,2019-04-25,2019-04-26,ND,ND,ND,2600,ND,ND,ND,
250/19,Swale,B076P,Swale BC,TR01316497,The Causeway,SURFACE,2019-04-24,2019-04-25,2019-04-26,ND,ND,ND,16600,ND,ND,ND,
251/19,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2019-04-23,2019-04-25,2019-04-26,ND,ND,ND,800,ND,ND,ND,
252/19,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2019-04-30,2019-05-01,2019-05-02,ND,ND,ND,25480,ND,ND,ND,
253/19,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,POLE,2019-04-30,2019-05-01,2019-05-02,ND,ND,ND,2480,ND,ND,ND,
254/19,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2019-04-29,2019-05-01,2019-05-02,ND,ND,ND,2080,ND,ND,ND,
255/19,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2019-05-01,2019-05-02,2019-05-03,ND,ND,ND,26100,ND,ND,ND,
256/19,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2019-05-01,2019-05-02,2019-05-03,ND,ND,ND,34600,ND,ND,ND,
257/19,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2019-05-01,2019-05-02,2019-05-03,ND,ND,ND,80,ND,ND,ND,
258/19,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2019-05-01,2019-05-02,2019-05-03,ND,ND,ND,ND,ND,ND,ND,
259/19,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2019-05-01,2019-05-02,2019-05-03,ND,ND,40,400,ND,ND,ND,
260/19,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2019-05-01,2019-05-03,2019-05-07,ND,ND,ND,13000,ND,ND,ND,
261/19,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2019-05-02,2019-05-03,2019-05-07,ND,ND,ND,40760,ND,ND,ND,
262/19,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,POLE,2019-05-02,2019-05-03,2019-05-07,ND,40,ND,21960,ND,ND,ND,
263/19,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2019-05-02,2019-05-03,2019-05-07,ND,ND,ND,115400,ND,ND,ND,
264/19,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2019-05-02,2019-05-03,2019-05-07,ND,100,ND,26500,ND,ND,ND,Additional flesh and water samples requested
265/19,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2019-05-07,2019-05-08,2019-05-09,ND,240,ND,2160,ND,ND,ND,Additional flesh and water sample requested
266/19,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2019-05-07,2019-05-08,2019-05-09,ND,ND,ND,4360,ND,ND,ND,
267/19,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,SURFACE,2019-05-07,2019-05-08,2019-05-09,ND,ND,ND,80,ND,ND,ND,
268/19,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,SURFACE,2019-05-06,2019-05-08,2019-05-09,ND,ND,ND,3200,ND,ND,ND,
