SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,SampleCollectionMethod,DateSampleCollected,DateSampleArrivedAtLowestoft,DateOfAnalysisAndResultsReported,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,ActionRequired
'1-17,Morecambe Bay - East ,B047P,Lancaster CC,SD44196535,Bare Ayre East,Pole,2017-01-03,2017-01-04,2017-01-05,ND,ND,ND,ND,ND,ND,ND,
'2-17,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,Surface,2017-01-04,2017-01-05,2017-01-06,ND,ND,ND,ND,ND,ND,ND,
'3-17,Blackwater,B14AD,Maldon DC,TM06910846,St Peters Flats ,Surface,2017-01-04,2017-01-05,2017-01-06,ND,ND,ND,ND,ND,ND,ND,
'4-17,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,Pole,2017-01-04,2017-01-05,2017-01-06,ND,ND,ND,ND,ND,ND,ND,
'5-17,Lune,B066Y,Wyre BC,SD34504722,Sea Centre South,Pole,2017-01-04,2017-01-06,2017-01-09,ND,ND,ND,ND,ND,ND,ND,
'7-17,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,Pole,2017-01-09,2017-01-10,2017-01-11,ND,ND,ND,ND,ND,ND,ND,
'8-17,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,Pole,2017-01-09,2017-01-10,2017-01-11,ND,ND,ND,ND,ND,ND,ND,
'9-17,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,Pole,2017-01-10,2017-01-11,2017-01-12,ND,ND,ND,ND,ND,ND,ND,
'10-17,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,Pole,2017-01-10,2017-01-11,2017-01-12,ND,ND,ND,ND,ND,ND,ND,
'11-17,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,Tube,2017-01-10,2017-01-11,2017-01-12,ND,ND,ND,ND,ND,ND,ND,
'12-17,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,Pole,2017-01-10,2017-01-11,2017-01-12,ND,ND,ND,ND,ND,ND,ND,
13-17,Langstone Harbour ,B019I,Portsmouth PHA,SU70940291,Stoke Common Lake,Pole,2017-01-10,2017-01-11,2017-01-12,ND,ND,ND,160,ND,ND,ND,
14-17,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,Pole,2017-01-10,2017-01-11,2017-01-12,ND,ND,ND,ND,ND,ND,ND,
15-17,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,Pole,2017-01-10,2017-01-11,2017-01-12,ND,ND,ND,ND,ND,ND,ND,
16-17,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,Pole,2017-01-09,2017-01-11,2017-01-12,ND,ND,ND,ND,ND,ND,ND,
17-17,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,Pole,2017-01-10,2017-01-11,2017-01-12,ND,ND,ND,ND,ND,ND,ND,
18-17,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,Pole,2017-01-10,2017-01-11,2017-01-12,ND,ND,ND,ND,ND,ND,ND,
19-17,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4 ,Surface,2017-01-11,2017-01-12,2017-01-13,ND,ND,ND,280,ND,ND,ND,
20-17,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point ,Surface,2017-01-11,2017-01-12,2017-01-13,ND,ND,ND,ND,ND,ND,ND,
21-17,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,Tube,2017-01-11,2017-01-12,2017-01-13,ND,ND,ND,ND,ND,ND,ND,
23-17,Roach,B73AF,London PHA,TQ94909207,Paglesham,Surface,2017-01-11,2017-01-12,2017-01-13,ND,ND,ND,ND,ND,ND,ND,
24-17,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,Surface,2017-01-11,2017-01-12,2017-01-13,ND,ND,ND,ND,ND,ND,ND,
25-17,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,Pole,2017-01-11,2017-01-12,2017-01-13,ND,ND,ND,ND,ND,ND,ND,
26-17,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,Pole,2017-01-11,2017-01-12,2017-01-13,ND,ND,ND,ND,ND,ND,ND,
27-17,Salcombe ,B029D,South Hams DC,SX75554148,Geese Quarries,Pole,2017-01-11,2017-01-12,2017-01-13,ND,ND,ND,ND,ND,ND,ND,
28-17,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,Surface,2017-01-11,2017-01-12,2017-01-13,ND,ND,ND,240,ND,ND,ND,
29-17,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,Pole,2017-01-12,2017-01-13,2017-01-16,ND,ND,ND,400,ND,ND,ND,
