SampleId,SiteNumber,SiteLocation,SampleDate,Alexandrium_sp_PSP,Karenia_mikimotoi_PotentiallyToxicToFish,Protoperidinium_crassipes,PSP_Lingulodinium_polyedrum,Gyrodinium_aureolum_PotentiallyToxicToFish,Dinophysis_sp_P_lima_DSP,Pseudonitzschia_ASP,SampleMethod,Comments
121,12,Fal Turnaware p,2003-07-21,2720,0,,,,0,1040,tube,
111,12,Fal Turnaware p,2003-07-17,320,40,,,,0,120,tube,
119,13,Burry  Machynys,2003-07-21,0,0,,,,0,0,surface,
122,38,Fowey,2003-07-23,510,24,,,,0,80,surface,
114,38,Fowey,2003-07-21,2000,1480,,,,0,1040,surface,
112,42,Glaslyn,2003-07-16,280,0,,,,0,0,surface,
118,44,Dee  Caldy Blacks,2003-07-21,0,0,,,,0,80,surface,
113,60,Lymington,2003-07-17,0,0,,,,0,0,tube,
124,6,Wash  Daseleys,2003-07-28,0,0,,,,0,0,surface,
123,6,Wash Gat,2003-07-28,0,0,,,,0,0,surface,
125,6,Wash Butterwick,2003-07-28,0,0,,,,0,360,surface,
136,9,Weymouth. I.H,2003-07-28,4840,0,,,,0,9080,surface,
137,12,Fal Turnaware p,2003-07-28,120,0,,,,0,4040,tube,
126,13,Burry  Machynys,2003-07-28,0,0,,,,0,0,surface,
132,18,Blyth  Northumberland,2003-07-28,240,0,,,,0,400,tube,
131,19,Milford Haven L.Quay,2003-07-28,480,240,,,,0,0,surface,
130,19,Milford Haven C.Spit,2003-07-28,2840,320,,,,0,0,surface,
128,22,Colchester,2003-07-28,0,0,,,,0,0,surface,
127,34,North Kent Coast,2003-07-28,0,0,,,,0,0,surface,
133,38,Fowey,2003-07-28,160,3240,,,,0,6440,surface,
129,41,Mawddach,2003-07-28,0,0,,,,0,0,surface,
135,42,Glaslyn,2003-07-29,0,0,,,,2,0,surface,
134,62,Plymouth,2003-07-28,0,0,,,,0,0,surface,
124,6,Wash  Daseleys,2003-07-28,0,0,,,,0,0,surface,
123,6,Wash Gat,2003-07-28,0,0,,,,0,0,surface,
125,6,Wash Butterwick,2003-07-28,0,0,,,,0,360,surface,
136,9,Weymouth. I.H,2003-07-28,4840,0,,,,0,9080,surface,
137,12,Fal Turnaware p,2003-07-28,120,0,,,,0,4040,tube,
126,13,Burry  Machynys,2003-07-28,0,0,,,,0,0,surface,
132,18,Blyth  Northumberland,2003-07-28,240,0,,,,0,400,tube,
131,19,Milford Haven L.Quay,2003-07-28,480,240,,,,0,0,surface,
