DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1985-05-15,       7.390,
1985-06-15,       7.230,
1985-07-15,       5.550,
1985-08-15,       4.770,
1985-09-15,       4.200,
1985-10-15,       3.640,
1985-11-15,       2.970,
1985-12-15,       4.050,
1986-01-15,       5.920,
1986-02-15,       6.190,
1986-03-15,       6.040,
1986-04-15,       4.970,
1986-05-15,       5.530,
1986-06-15,       5.100,
1986-07-15,       3.130,
1986-09-15,       4.440,
1986-10-15,       3.570,
1986-11-15,       3.960,
1986-12-15,       4.290,
1987-01-15,       3.840,
1987-02-15,       4.550,
1987-03-15,       3.730,
1987-04-15,       4.640,
1987-05-15,       5.080,
1987-06-15,       5.220,
1987-07-15,       6.610,
1987-09-15,       3.600,
1987-10-15,       4.490,
1987-11-15,       3.450,
1987-12-15,       4.330,
1988-01-15,       6.320,
1988-02-15,       5.120,
1988-03-15,       4.750,
1988-04-15,       4.360,
1988-05-15,       4.040,
1988-06-15,       4.460,
1988-07-15,       5.560,
1988-08-15,       5.980,
1988-09-15,       6.420,
1988-10-15,       3.940,
1988-11-15,       4.660,
1988-12-15,       4.410,
1989-01-15,       3.460,
1989-02-15,       5.250,
1989-03-15,       4.520,
1989-04-15,       6.150,
1989-05-15,       4.570,
1989-06-15,       4.670,
1989-07-15,       4.850,
1989-08-15,       4.090,
1989-09-15,       4.600,
1989-10-15,       4.260,
1989-11-15,       1.330,
1989-12-15,       3.980,
1990-02-15,       4.950,
1990-03-15,       1.730,
1990-05-15,       2.260,
1990-06-15,       4.120,
1990-07-15,      10.680,
1990-08-15,       4.200,
1990-09-15,       3.410,
1990-10-15,       4.680,
1990-11-15,       3.390,
1990-12-15,       4.080,
1991-01-15,       2.680,
1991-02-15,       4.650,
1991-03-15,       6.260,
1991-04-15,       5.240,
1991-05-15,       5.840,
1991-06-15,       5.560,
1991-07-15,       5.010,
1991-09-15,       3.700,
1991-10-15,       5.890,
1991-11-15,       2.810,
1991-12-15,       6.100,
1992-01-15,       7.840,
1992-02-15,       2.870,
1992-03-15,       2.440,
1992-04-15,       7.160,
1992-05-15,       7.330,
1992-06-15,       4.760,
1992-07-15,       4.080,
1992-08-15,       3.440,
1992-09-15,       1.720,
1992-10-15,       4.160,
1992-11-15,       7.220,
1992-12-15,       6.150,
1993-01-15,       6.070,
1993-02-15,       3.550,
1993-03-15,       5.110,
1993-04-15,       6.310,
1993-05-15,       5.460,
1993-06-15,       4.530,
1993-07-15,       5.620,
1993-08-15,       0.600,
1993-09-15,       3.890,
1993-10-15,       5.810,
1993-11-15,       3.380,
1993-12-15,       5.620,
1994-01-15,       5.330,
1994-02-15,       4.430,
1994-03-15,       5.330,
1994-04-15,       6.380,
1994-05-15,       5.240,
1994-06-15,       2.980,
1994-07-15,       2.470,
1994-08-15,       6.370,
1994-09-15,       4.210,
1994-10-15,       5.570,
1994-11-15,       2.890,
1994-12-15,       5.870,
1995-01-15,       5.050,
1995-02-15,       4.400,
1995-03-15,       4.580,
1995-04-15,       3.650,
1995-05-15,       7.390,
1995-06-15,       7.040,
1995-07-15,       6.420,
1995-08-15,       5.220,
1995-09-15,       6.460,
1995-10-15,       4.740,
1995-11-15,       5.260,
1995-12-15,       3.820,
1996-01-15,       5.740,
1996-02-15,       7.190,
1996-03-15,       3.300,
1996-04-15,       4.970,
1996-05-15,       3.850,
1996-06-15,       5.710,
1996-07-15,       5.280,
1996-08-15,       5.860,
1996-09-15,       6.410,
1996-10-15,       7.360,
1996-11-15,       5.960,
1996-12-15,       6.600,
1997-01-15,       5.380,
1997-02-15,       7.160,
1997-03-15,       5.530,
1997-04-15,       5.580,
1997-05-15,       4.600,
1997-07-15,       3.750,
1997-08-15,       9.300,
1997-09-15,       6.700,
1997-11-15,       5.360,
1997-12-15,       4.320,
1998-01-15,       6.070,
1998-02-15,       5.460,
1998-03-15,       2.000,
1998-04-15,       5.550,
1998-05-15,       6.330,
1998-06-15,       7.940,
1998-07-15,       7.100,
1998-08-15,       5.930,
1998-10-15,       5.180,
1998-11-15,       1.720,
1998-12-15,       6.870,
1999-01-15,       7.830,
1999-02-15,       8.980,
1999-03-15,       8.210,
1999-05-15,       7.110,
1999-06-15,       5.130,
1999-07-15,       5.970,
1999-08-15,       6.500,
1999-09-15,       5.310,
1999-10-15,       5.020,
1999-11-15,       2.730,
1999-12-15,       4.000,
2000-01-15,       3.380,
2000-02-15,       6.340,
2000-03-15,       7.410,
2000-04-15,       5.750,
2000-05-15,       7.550,
2000-06-15,       4.820,
2000-07-15,       6.000,
2000-08-15,       9.430,
2000-10-15,       5.210,
2000-11-15,       4.660,
2000-12-15,       6.130,
2001-01-15,       6.310,
2001-02-15,       2.200,
2001-03-15,       4.870,
2001-04-15,       7.000,
2001-05-15,       7.840,
2001-06-15,       7.050,
2001-07-15,       7.360,
2001-08-15,       6.460,
2001-09-15,       7.150,
2001-10-15,       7.750,
2001-11-15,       5.970,
2001-12-15,       5.280,
2002-01-15,       6.570,
2002-02-15,       4.900,
2002-03-15,       5.270,
2002-04-15,       7.520,
2002-05-15,       6.340,
2002-06-15,       6.170,
2002-07-15,       5.560,
2002-08-15,       6.500,
2002-09-15,       2.080,
2002-10-15,       5.220,
2002-11-15,       1.440,
2002-12-15,       4.090,
2003-01-15,       5.690,
2003-02-15,       4.240,
2003-03-15,       3.640,
2003-04-15,       4.310,
2003-05-15,       8.660,
2003-06-15,       3.150,
2003-07-15,       5.000,
2003-08-15,       4.000,
2003-09-15,       4.500,
2003-10-15,       5.020,
2003-11-15,       4.410,
2003-12-15,       3.590,
2004-01-15,       3.050,
2004-02-15,       4.450,
2004-03-15,       8.500,
2004-04-15,       7.790,
2004-05-15,       6.200,
2004-06-15,       6.140,
2004-07-15,       4.400,
2004-10-15,       6.560,
2004-11-15,       4.430,
2004-12-15,       9.780,
2005-01-15,       5.000,
2005-02-15,       7.600,
2005-03-15,       6.560,
2005-04-15,       7.280,
2005-05-15,       3.950,
2005-06-15,       9.100,
2005-07-15,       6.550,
2005-08-15,       5.010,
2005-10-15,       6.000,
2005-11-15,       5.800,
2005-12-15,       4.600,
2006-01-15,       9.670,
2006-02-15,       5.370,
2006-03-15,       7.750,
2006-04-15,       8.830,
2006-05-15,       6.320,
2006-06-15,       6.000,
2006-07-15,       4.740,
2006-08-15,       7.090,
2006-10-15,       8.770,
2006-11-15,       5.510,
