DATE-YMD,OTHR= OSCAR surface currents v-NS-component (m/s),
2013-04-15,      -0.071,
2013-05-15,       0.041,
2013-06-15,      -0.052,
2013-07-15,      -0.102,
2013-08-15,      -0.131,
2013-09-15,      -0.064,
2013-10-15,      -0.055,
2013-11-15,       0.074,
2013-12-15,       0.051,
2014-01-15,       0.085,
2014-02-15,      -0.145,
2014-03-15,      -0.137,
2014-04-15,      -0.078,
